year	cited_by_article	count	in_deg_in_context	in_deg_in_context_tapered	in_deg_out_context	in_deg_out_context_tapered	in_deg_total	in_deg_total_tapered
1927	0	2	2	0.0224719101124	35	0.393258426966	37	0.415730337078
1933	0	1	1	0.0120481927711	1	0.0120481927711	2	0.0240963855422
1935	0	1	1	0.0123456790123	9	0.111111111111	10	0.123456790123
1948	0	1	2	0.0294117647059	5065	74.4852941176	5067	74.5147058823
1953	0	1	2	0.031746031746	602	9.55555555556	604	9.58730158731
1965	0	1	1	0.0196078431373	6	0.117647058824	7	0.137254901961
1967	0	1	1	0.0204081632653	119	2.42857142857	120	2.44897959184
1968	0	1	1	0.0208333333333	262	5.45833333333	263	5.47916666666
1973	0	4	4	0.093023255814	96	2.23255813953	100	2.32558139534
1974	0	1	1	0.0238095238095	171	4.07142857143	172	4.09523809524
1975	0	3	3	0.0731707317072	139	3.39024390243	142	3.46341463414
1976	0	1	1	0.025	2	0.05	3	0.075
1977	0	3	5	0.128205128205	158	4.05128205128	163	4.17948717949
1978	0	1	1	0.0263157894737	30	0.789473684211	31	0.815789473685
1979	0	2	2	0.054054054054	159	4.2972972973	161	4.35135135135
1980	0	1	1	0.0277777777778	40	1.11111111111	41	1.13888888889
1983	0	3	3	0.090909090909	1672	50.6666666667	1675	50.7575757576
1984	0	2	2	0.0625	140	4.375	142	4.4375
1985	0	1	1	0.0322580645161	8	0.258064516129	9	0.290322580645
1986	0	5	6	0.2	398	13.2666666667	404	13.4666666667
1987	0	4	4	0.137931034483	527	18.1724137931	531	18.3103448276
1988	0	6	8	0.285714285714	569	20.3214285714	577	20.6071428571
1989	0	8	11	0.407407407407	1745	64.6296296296	1756	65.037037037
1990	0	48	57	2.19230769231	4462	171.615384615	4519	173.807692308
1991	0	417	579	23.16	86249	3449.96	86828	3473.12
1992	0	459	725	30.2083333333	58952	2456.33333333	59677	2486.54166667
1993	0	496	725	31.5217391305	80300	3491.30434783	81025	3522.82608696
1994	0	586	917	41.6818181818	110323	5014.68181818	111240	5056.36363637
1995	0	573	885	42.1428571428	75541	3597.19047619	76426	3639.33333333
1996	0	508	764	38.2	76170	3808.5	76934	3846.7
1997	0	538	814	42.8421052632	126490	6657.36842105	127304	6700.21052632
1998	0	501	782	43.4444444445	70694	3927.44444444	71476	3970.88888889
1999	0	458	625	36.7647058824	48775	2869.11764706	49400	2905.88235294
2000	2	419	581	36.3125	48620	3038.75	49201	3075.0625
2001	0	305	356	23.7333333333	26522	1768.13333333	26878	1791.86666667
2002	2	148	192	13.7142857143	13321	951.5	13513	965.214285715
2003	2	80	84	6.46153846154	4011	308.538461538	4095	315.0
2004	1	46	46	3.83333333333	2818	234.833333333	2864	238.666666667
2005	1	34	29	2.63636363636	1544	140.363636364	1573	143.0
2006	1	21	20	2.0	794	79.4	814	81.4
2007	1	19	10	1.11111111111	327	36.3333333333	337	37.4444444444
2008	0	12	5	0.625	83	10.375	88	11.0
2009	1	10	2	0.285714285714	33	4.71428571428	35	5.0
2010	0	13	1	0.166666666667	12	2.0	13	2.16666666667
